,Lemma,POS,meaning_en
141894,burgemeesters,SPEC,
142264,burgers,SPEC,
143161,bust,SPEC,
143403,butlers,SPEC,
143529,buttons,SPEC,
144011,bye,SPEC,
144114,bytes,SPEC,
145519,cactussen,SPEC,
145923,caesars,SPEC,
146694,calculeer,SPEC,
147095,call,SPEC,
147844,camels,SPEC,
148706,canada,SPEC,
148760,canadezen,SPEC,
148873,cancel,SPEC,
149611,capella,SPEC,
149630,capes,SPEC,
150005,caps,SPEC,
150025,capsules,SPEC,
150041,captains,SPEC,
150134,carabinieri,SPEC,
151726,carne,SPEC,
152652,carré,SPEC,
152803,carters,SPEC,
153102,cascades,SPEC,
154110,catacomben,SPEC,
154156,catalogi,SPEC,
154898,cavaliers,SPEC,
155797,celebrity,SPEC,
156359,centauren,SPEC,
156491,centers,SPEC,
156515,centimeters,SPEC,
156775,centurions,SPEC,
156858,cerberus,SPEC,
157127,cetera,SPEC,
157151,ceylon,SPEC,
157665,challengers,SPEC,
160124,charmante,SPEC,
160653,chauffeurs,SPEC,
160886,check-up,SPEC,
161078,cheerleaders,SPEC,
161158,cheeseburgers,SPEC,
161307,chefs,SPEC,
162464,chi,SPEC,
162882,chicks,SPEC,
163021,chiefs,SPEC,
163205,chilipoeder,ADJ,
163207,chilipoeder,SPEC,
163209,chilipoeder,WW,
163349,chimpansees,SPEC,
163650,chinook,SPEC,
163764,chipper,SPEC,
164716,choice,SPEC,
165419,christelijke,SPEC,
165441,christen,ADJ,
165443,christen,N,
165446,christen,SPEC,
167622,circa,BW,
168274,city,SPEC,
168924,clans,SPEC,
169319,clarks,SPEC,
169355,class,SPEC,
170069,clementine,SPEC,
170538,clinic,SPEC,
170951,close-ups,SPEC,
171109,clowns,SPEC,
171938,coaches,SPEC,
172013,coat,SPEC,
172591,cocktails,SPEC,
172687,cocoon,SPEC,
172876,codes,SPEC,
173119,cognacje,SPEC,
173442,colberts,SPEC,
173481,cold,SPEC,
173814,collect,SPEC,
174191,colliers,SPEC,
174537,colour,SPEC,
174621,colts,SPEC,
175517,comme,SPEC,
175550,commerce,SPEC,
175687,commissieleden,SPEC,
175769,commodores,SPEC,
175775,common,SPEC,
176015,communicator,SPEC,
176020,communiceert,SPEC,
176081,communisten,SPEC,
176109,communistische,SPEC,
176123,community,SPEC,
176290,compagnons,SPEC,
176515,complete,SPEC,
177266,computers,SPEC,
177304,computerspellen,SPEC,
177481,con,SPEC,
177908,concurrenten,SPEC,
178144,condooms,SPEC,
178673,congresleden,SPEC,
179254,conservatieven,SPEC,
179785,contacten,SPEC,
179800,contactgestoord,ADJ,
179802,contactgestoord,WW,
179979,conti,SPEC,
180189,contradictio,SPEC,
180539,controllers,SPEC,
180922,cools,ADJ,
180927,cools,SPEC,
180929,cools,TW,
180931,cools,WW,
180939,coolste,SPEC,
183653,couverts,SPEC,
183723,covers,SPEC,
183729,covert,SPEC,
183890,cowboys,SPEC,
183956,cox,SPEC,
184085,coïtus,SPEC,
184111,coördinaten,SPEC,
184320,crackers,SPEC,
184923,crazy,SPEC,
185626,crews,SPEC,
185643,creëert,SPEC,
185846,criminelen,SPEC,
186575,cross-country,SPEC,
186641,crossing,SPEC,
186836,cruces,SPEC,
186934,cruises,SPEC,
187637,cubanen,SPEC,
187802,cuisine,SPEC,
187902,culpa,SPEC,
187983,culturele,SPEC,
188094,cum,SPEC,
188287,cups,SPEC,
188325,curaçao,SPEC,
188833,cutters,SPEC,
189223,cycli,SPEC,
189260,cyclopen,SPEC,
190917,daar,BW,
190919,daar,SPEC,
190921,daar,VG,
190923,daar,VNW,
190960,daaraan,BW,
190964,daarachter,BW,
190966,daaraf,BW,
190972,daarbeneden,BW,
190974,daarbij,BW,
190988,daarboven,BW,
190990,daarboven,VZ,
190996,daarbovenop,BW,
190998,daarbuiten,BW,
191002,daardoor,BW,
191006,daarenboven,BW,
191008,daarentegen,BW,
191016,daarginds,BW,
191020,daarheen,BW,
191022,daarheen,SPEC,
191044,daarjuist,BW,
191048,daarlangs,BW,
191054,daarmee,BW,
191056,daarmee,VZ,
191064,daarna,BW,
191074,daarnaar,BW,
191076,daarnaartoe,BW,
191078,daarnaast,BW,
191084,daarnet,BW,
191100,daaromheen,BW,
191106,daaronder,BW,
191118,daarover,BW,
191122,daaroverheen,BW,
191132,daarstraks,BW,
191136,daartegen,BW,
191138,daartegenover,BW,
191140,daartoe,BW,
191142,daartussen,BW,
191144,daartussenin,BW,
191146,daaruit,BW,
191169,daarvoor,BW,
191171,daarvoor,SPEC,
191420,daden,SPEC,
191924,dagloners,SPEC,
